ELECTRONICS|100|Smartphone X12|Telephone haut de gamme|899.990000|15|TechCorp|24|25.000000
ELECTRONICS|101|Laptop Pro|Ordinateur portable professionnel|1299.990000|8|CompuTech|36|65.000000
ELECTRONICS|102|Ecouteurs BT|Ecouteurs sans fil|149.990000|30|SoundMax|12|5.000000
ELECTRONICS|103|Tablette 10|Tablette 10 pouces|399.990000|12|TechCorp|24|15.000000
FOOD|200|Cafe Arabica|Cafe premium|12.990000|50|2026-12-31|0|1
FOOD|201|Chocolat Noir|Chocolat 85% cacao|4.990000|100|2026-08-15|520|1
FOOD|202|Pates Italiennes|Pates bio|2.490000|200|2027-01-01|350|1
FOOD|203|Jus Orange|Jus frais presse|3.990000|40|2026-06-15|120|0
CLOTHING|300|T-Shirt Basique|Coton confortable|19.990000|60|M|Noir|Coton
CLOTHING|301|Jean Slim|Denim stretch|59.990000|25|L|Bleu|Denim
CLOTHING|302|Veste Hiver|Chaude et impermeable|129.990000|10|XL|Gris|Polyester
CLOTHING|303|Robe Ete|Legere et elegante|49.990000|20|S|Rouge|Linen
